original english sentences,deepl sentences,google sentences
 the fact that it is scarcely one seventh of the volume of the earth must have accelerated its cooling to the temperature at which life could begin, le fait qu'elle représente à peine un septième du volume de la terre a dû accélérer son refroidissement jusqu'à la température à laquelle la vie peut commencer,le fait qu'il représente à peine un septième du volume de la Terre a dû accélérer son refroidissement jusqu'à la température à laquelle la vie pourrait commencer
 it has air and water and all that is necessary for the support of animated existence, il y a de l'air et de l'eau et tout ce qui est nécessaire au maintien de l'existence animée,il contient de l'air et de l'eau et tout ce qui est nécessaire au maintien d'une existence animée
"  yet so vain is man, and so blinded by his vanity, that no writer, up to the very end of the nineteenth century, expressed any idea that intelligent life might have developed there far, or indeed at all, beyond its earthly level","  Mais l'homme est si vain, et si aveuglé par sa vanité, qu'aucun écrivain, jusqu'à la fin du XIXe siècle, n'a exprimé l'idée qu'une vie intelligente ait pu se développer là-bas bien au-delà de son niveau terrestre, ou même qu'elle ait pu s'y développer tout court.","Pourtant, l'homme est si vaniteux et si aveuglé par sa vanité qu'aucun écrivain, jusqu'à la toute fin du XIXe siècle, n'a exprimé la moindre idée que la vie intelligente aurait pu s'y développer bien, voire même pas du tout, au-delà de son niveau terrestre."
" nor was it generally understood that since mars is older than our earth, with scarcely a quarter of the superficial area and remoter from the sun, it necessarily follows that it is not only more distant from time's beginning but nearer its end"," on n'a pas non plus compris que, puisque mars est plus vieille que notre terre, qu'elle en a à peine le quart de la surface et qu'elle est plus éloignée du soleil, il s'ensuit nécessairement qu'elle est non seulement plus éloignée du commencement du temps, mais aussi plus proche de sa fin","il n'était pas non plus généralement admis que, puisque Mars est plus ancienne que notre Terre, avec à peine un quart de sa superficie superficielle et plus éloignée du soleil, il s'ensuit nécessairement qu'elle est non seulement plus éloignée du commencement du temps, mais plus proche de sa fin."
  the secular cooling that must someday overtake our planet has already gone far indeed with our neighbour,  le refroidissement séculaire qui doit un jour s'abattre sur notre planète est déjà bien avancé chez notre voisin,le refroidissement séculaire qui doit un jour s'abattre sur notre planète est déjà allé loin chez notre voisin
" its physical condition is still largely a mystery, but we know now that even in its equatorial region the midday temperature barely approaches that of our coldest winter"," son état physique reste encore largement mystérieux, mais nous savons maintenant que, même dans sa région équatoriale, la température de midi approche à peine celle de nos hivers les plus froids","sa condition physique reste encore largement mystérieuse, mais nous savons désormais que même dans sa région équatoriale, la température de midi approche à peine celle de notre hiver le plus froid."
" its air is much more attenuated than ours, its oceans have shrunk until they cover but a third of its surface, and as its slow seasons change huge snowcaps gather and melt about either pole and periodically inundate its temperate zones"," Son air est beaucoup plus atténué que le nôtre, ses océans se sont rétrécis jusqu'à ne plus couvrir qu'un tiers de sa surface, et au fil de ses lentes saisons, d'immenses couches de neige s'accumulent et fondent autour des deux pôles, inondant périodiquement ses zones tempérées.","son air est beaucoup plus atténué que le nôtre, ses océans ont rétréci jusqu'à ne couvrir qu'un tiers de sa surface, et à mesure que ses saisons changent lentement, d'énormes calottes neigeuses se rassemblent et fondent autour de chaque pôle et inondent périodiquement ses zones tempérées."
" that last stage of exhaustion, which to us is still incredibly remote, has become a present-day problem for the inhabitants of mars"," ce dernier stade d'epuisement, qui nous semble encore incroyablement lointain, est devenu un probleme d'aujourd'hui pour les habitants de mars","ce dernier stade d'épuisement, qui nous semble encore incroyablement lointain, est devenu un problème actuel pour les habitants de Mars"
" the immediate pressure of necessity has brightened their intellects, enlarged their powers, and hardened their hearts"," la pression immédiate de la nécessité a éclairé leur intelligence, élargi leurs pouvoirs et endurci leur cœur","la pression immédiate de la nécessité a éclairé leur intellect, élargi leurs pouvoirs et endurci leur cœur"
" and looking across space with instruments, and intelligences such as we have scarcely dreamed of, they see, at its nearest distance only 35,000,000 of miles sunward of them, a morning star of hope, our own warmer planet, green with vegetation and grey with water, with a cloudy atmosphere eloquent of fertility, with glimpses through its drifting cloud wisps of broad stretches of populous country and narrow, navy-crowded seas"," et en regardant à travers l'espace avec des instruments et des intelligences dont nous avons à peine rêvé, ils voient, à sa distance la plus proche, à seulement 35 000 000 de miles du soleil, une étoile du matin pleine d'espoir, notre propre planète plus chaude, verte avec de la végétation et grise avec de l'eau, avec une atmosphère nuageuse éloquente de fertilité, avec des aperçus à travers ses nuages à la dérive de vastes étendues de pays peuplés et de mers étroites et encombrées de navires de guerre","et en regardant à travers l'espace avec des instruments et des intelligences telles que nous en avons à peine rêvé, ils voient, à sa distance la plus proche, à seulement 35 000 000 de milles au soleil d'eux, une étoile du matin d'espoir, notre propre planète plus chaude, verte de végétation et grise d'eau. , avec une atmosphère nuageuse éloquente de fertilité, avec des aperçus à travers ses nuages ​​​​à la dérive de vastes étendues de pays peuplés et de mers étroites et peuplées de marine"
"  and we men, the creatures who inhabit this earth, must be to them at least as alien and lowly as are the monkeys and lemurs to us","  et nous, les hommes, les créatures qui habitent cette terre, devons être pour eux au moins aussi étrangers et humbles que le sont pour nous les singes et les lémuriens","et nous, les hommes, les créatures qui habitent cette terre, devons leur être au moins aussi étrangers et humbles que le sont les singes et les lémuriens pour nous."
" the intellectual side of man already admits that life is an incessant struggle for existence, and it would seem that this too is the belief of the minds upon mars"," le côté intellectuel de l'homme admet déjà que la vie est une lutte incessante pour l'existence, et il semblerait que ce soit aussi la croyance des esprits sur mars","le côté intellectuel de l'homme admet déjà que la vie est une lutte incessante pour l'existence, et il semblerait que ce soit aussi la croyance des esprits en Mars."
" their world is far gone in its cooling and this world is still crowded with life, but crowded only with what they regard as inferior animals"," leur monde est loin d'être refroidi et ce monde est encore peuplé de vie, mais seulement de ce qu'ils considèrent comme des animaux inférieurs","leur monde est bien loin de son refroidissement et ce monde est toujours rempli de vie, mais rempli uniquement de ce qu'ils considèrent comme des animaux inférieurs."
" to carry warfare sunward is, indeed, their only escape from the destruction that, generation after generation, creeps upon them"," de porter la guerre au soleil est, en effet, leur seul moyen d'échapper à la destruction qui, génération après génération, s'abat sur eux.","mener la guerre vers le soleil est, en effet, leur seul moyen d'échapper à la destruction qui, génération après génération, s'abat sur eux."
"  and before we judge of them too harshly we must remember what ruthless and utter destruction our own species has wrought, not only upon animals, such as the vanished bison and the dodo, but upon its inferior races","  Et avant de les juger trop sévèrement, nous devons nous souvenir de la destruction impitoyable et totale que notre propre espèce a provoquée, non seulement sur les animaux, tels que le bison et le dodo disparus, mais aussi sur ses races inférieures","et avant de les juger trop durement, nous devons nous rappeler quelle destruction impitoyable et totale notre propre espèce a provoquée, non seulement sur les animaux, tels que le bison et le dodo disparus, mais sur ses races inférieures."
" the tasmanians, in spite of their human likeness, were entirely swept out of existence in a war of extermination waged by european immigrants, in the space of fifty years"," les tasmaniens, malgré leur ressemblance humaine, ont été entièrement balayés par une guerre d'extermination menée par les immigrants européens, en l'espace de cinquante ans","les Tasmaniens, malgré leur ressemblance humaine, ont été entièrement balayés de l'existence dans une guerre d'extermination menée par les immigrants européens, en l'espace de cinquante ans."
 are we such apostles of mercy as to complain if the martians warred in the same spirit?  the martians seem to have calculated their descent with amazing subtletyâ€”their mathematical learning is evidently far in excess of oursâ€”and to have carried out their preparations with a well-nigh perfect unanimity, les martiens semblent avoir calculé leur descente avec une subtilité étonnante - leur savoir mathématique est manifestement bien supérieur au nôtre - et avoir exécuté leurs préparatifs avec une unanimité presque parfaite.,sommes-nous assez apôtres de la miséricorde pour nous plaindre si les martiens ont fait la guerre dans le même esprit ?  les martiens semblent avoir calculé leur descendance avec une subtilité étonnante – leur savoir mathématique est évidemment bien supérieur au nôtre – et avoir effectué leurs préparatifs avec une unanimité presque parfaite.
" had our instruments permitted it, we might have seen the gathering trouble far back in the nineteenth century"," si nos instruments l'avaient permis, nous aurions pu voir les troubles s'accumuler dès le dix-neuvième siècle","si nos instruments l'avaient permis, nous aurions pu assister à des troubles grandissants au XIXe siècle."
" men like schiaparelli watched the red planetâ€”it is odd, by-the-bye, that for countless centuries mars has been the star of warâ€”but failed to interpret the fluctuating appearances of the markings they mapped so well"," des hommes comme schiaparelli ont observé la planète rouge - il est d'ailleurs curieux que, depuis d'innombrables siècles, mars soit l'étoile de la guerre - mais n'ont pas su interpréter les apparences fluctuantes des marques qu'ils avaient si bien cartographiées...","des hommes comme Schiaparelli ont observé la planète rouge – il est étrange, soit dit en passant, que Mars ait été la star de la guerre pendant d'innombrables siècles – mais n'ont pas réussi à interpréter les apparences fluctuantes des marques qu'ils ont si bien cartographiées."
 all that time the martians must have been getting ready," pendant tout ce temps, les martiens ont dû se préparer","pendant tout ce temps, les martiens devaient se préparer"
"  during the opposition of 1894 a great light was seen on the illuminated part of the disk, first at the lick observatory, then by perrotin of nice, and then by other observers","  lors de l'opposition de 1894, une grande lumière a été observée sur la partie éclairée du disque, d'abord à l'observatoire de lick, puis par perrotin de nice, et ensuite par d'autres observateurs","lors de l'opposition de 1894 une grande lumière fut vue sur la partie éclairée du disque, d'abord à l'observatoire de lick, puis par perrotin de nice, et ensuite par d'autres observateurs"
 english readers heard of it first in the issue of _nature_ dated august 2, les lecteurs anglais en ont entendu parler pour la premiere fois dans le numero de _nature_ du 2 aout,les lecteurs anglais en ont entendu parler pour la première fois dans le numéro de _nature_ du 2 août
" i am inclined to think that this blaze may have been the casting of the huge gun, in the vast pit sunk into their planet, from which their shots were fired at us"," je suis enclin à penser que ce brasier a pu être la coulée de l'énorme canon, dans le vaste puits creusé dans leur planète, d'où ils nous ont tiré dessus","J'ai tendance à penser que cet incendie pourrait être dû au lancement de l'énorme canon, dans la vaste fosse creusée dans leur planète, d'où leurs tirs ont été tirés sur nous."
" peculiar markings, as yet unexplained, were seen near the site of that outbreak during the next two oppositions"," des marques particulières, encore inexpliquées, ont été observées à proximité du lieu de l'éclosion au cours des deux oppositions suivantes","des marques particulières, encore inexpliquées, ont été observées près du site de cette épidémie lors des deux oppositions suivantes"
  the storm burst upon us six years ago now,  la tempête s'est abattue sur nous il y a maintenant six ans,la tempête a éclaté sur nous il y a six ans maintenant
" as mars approached opposition, lavelle of java set the wires of the astronomical exchange palpitating with the amazing intelligence of a huge outbreak of incandescent gas upon the planet"," alors que mars s'approche de l'opposition, lavelle de java fait palpiter les fils de la bourse astronomique avec l'information étonnante d'une énorme flambée de gaz incandescent sur la planète","Alors que Mars approchait de l'opposition, Lavelle de Java a fait palpiter les fils de l'échange astronomique avec l'étonnante intelligence d'une énorme explosion de gaz incandescent sur la planète."
" it had occurred towards midnight of the twelfth; and the spectroscope, to which he had at once resorted, indicated a mass of flaming gas, chiefly hydrogen, moving with an enormous velocity towards this earth"," il s'était produit vers minuit le douze ; et le spectroscope, auquel il avait immédiatement eu recours, indiquait une masse de gaz enflammés, principalement de l'hydrogène, se déplaçant avec une énorme vélocité vers cette terre","cela s'était produit vers minuit le 12 ; et le spectroscope, auquel il avait immédiatement eu recours, indiquait une masse de gaz enflammé, principalement de l'hydrogène, se déplaçant avec une énorme vitesse vers cette terre."
 this jet of fire had become invisible about a quarter past twelve, ce jet de feu était devenu invisible vers midi et quart,ce jet de feu était devenu invisible vers midi et quart
" he compared it to a colossal puff of flame suddenly and violently squirted out of the planet, as flaming gases rushed out of a gun"," Il l'a comparée à une colossale bouffée de flammes qui jaillit soudainement et violemment de la planète, comme des gaz enflammés jaillissent d'un fusil.","il l'a comparé à une bouffée de flammes colossale jaillie soudainement et violemment de la planète, alors que des gaz enflammés s'échappaient d'un pistolet."
  a singularly appropriate phrase it proved,  une phrase singulièrement appropriée qui s'est avérée,"une phrase singulièrement appropriée, il s'est avéré"
" yet the next day there was nothing of this in the papers except a little note in the _daily telegraph_, and the world went in ignorance of one of the gravest dangers that ever threatened the human race"," Pourtant, le lendemain, les journaux n'en ont rien dit, à l'exception d'une petite note dans le _daily telegraph_, et le monde est resté dans l'ignorance de l'un des plus graves dangers qui aient jamais menacé la race humaine","pourtant, le lendemain, il n'y avait rien de tout cela dans les journaux, à l'exception d'une petite note dans le télégraphe quotidien, et le monde restait ignorant de l'un des dangers les plus graves qui aient jamais menacé la race humaine."
" i might not have heard of the eruption at all had i not met ogilvy, the well-known astronomer, at ottershaw"," je n'aurais peut-être jamais entendu parler de l'éruption si je n'avais pas rencontré ogilvy, le célèbre astronome, à ottershaw","Je n'aurais peut-être pas entendu parler de l'éruption si je n'avais pas rencontré Ogilvy, le célèbre astronome, à Ottershaw."
" he was immensely excited at the news, and in the excess of his feelings invited me up to take a turn with him that night in a scrutiny of the red planet"," Il était immensément excité par la nouvelle et, dans l'excès de ses sentiments, il m'invita à l'accompagner ce soir-là dans un examen minutieux de la planète rouge.","il était extrêmement excité par la nouvelle et, dans l'excès de ses sentiments, m'a invité à faire un tour avec lui ce soir-là pour examiner la planète rouge."
"  in spite of all that has happened since, i still remember that vigil very distinctly: the black and silent observatory, the shadowed lantern throwing a feeble glow upon the floor in the corner, the steady ticking of the clockwork of the telescope, the little slit in the roofâ€”an oblong profundity with the stardust streaked across it","  Malgré tout ce qui s'est passé depuis, je me souviens encore très distinctement de cette veillée : l'observatoire noir et silencieux, la lanterne ombragée jetant une faible lueur sur le sol dans un coin, le tic-tac régulier de l'horloge du télescope, la petite fente dans le toit - une profondeur oblongue avec la poussière d'étoiles qui la parcourt","malgré tout ce qui s'est passé depuis, je me souviens encore très distinctement de cette veillée : l'observatoire noir et silencieux, la lanterne dans l'ombre jetant une faible lueur sur le sol du coin, le tic-tac régulier du mécanisme d'horlogerie du télescope, la petite fente dans le toit – une profondeur oblongue recouverte de poussière d'étoiles"
" ogilvy moved about, invisible but audible"," ogilvy se déplace, invisible mais audible","Ogilvy se déplaçait, invisible mais audible"
" looking through the telescope, one saw a circle of deep blue and the little round planet swimming in the field"," en regardant dans le télescope, on voyait un cercle d'un bleu profond et la petite planète ronde qui nageait dans le champ","en regardant à travers le télescope, on voyait un cercle d'un bleu profond et la petite planète ronde nageant dans le champ"
" it seemed such a little thing, so bright and small and still, faintly marked with transverse stripes, and slightly flattened from the perfect round"," Il semblait si petit, si brillant, si petit et si calme, faiblement marqué de rayures transversales, et légèrement aplati par rapport à la rondeur parfaite de son corps, qu'il n'y avait pas d'autre solution.","cela semblait si petit, si brillant, si petit et immobile, légèrement marqué de rayures transversales et légèrement aplati par rapport au rond parfait."
" but so little it was, so silvery warmâ€”a pin's head of light! it was as if it quivered, but really this was the telescope vibrating with the activity of the clockwork that kept the planet in view"," Mais c'était si peu, si chaud et argenté... une tête d'épingle de lumière ! on aurait dit qu'elle frémissait, mais en réalité c'était le télescope qui vibrait avec l'activité de l'horloge qui gardait la planète en vue...","mais c'était si petit, si chaud et argenté – une tête d'épingle de lumière ! c'était comme s'il frémissait, mais en réalité c'était le télescope qui vibrait sous l'activité du mécanisme d'horlogerie qui gardait la planète en vue."
"  as i watched, the planet seemed to grow larger and smaller and to advance and recede, but that was simply that my eye was tired","  Pendant que je regardais, la planète semblait grossir et rapetisser, avancer et reculer, mais c'était simplement parce que mon œil était fatigué.","pendant que je regardais, la planète semblait devenir de plus en plus grande et plus petite, avancer et reculer, mais c'était simplement que mon œil était fatigué."
 forty millions of miles it was from usâ€”more than forty millions of miles of void," quarante millions de kilomètres de nous, plus de quarante millions de kilomètres de vide...",à quarante millions de kilomètres de nous – plus de quarante millions de kilomètres de vide
 few people realise the immensity of vacancy in which the dust of the material universe swims, peu de gens se rendent compte de l'immensité du vide dans lequel nagent les poussières de l'univers matériel,peu de gens réalisent l’immensité du vide dans lequel nage la poussière de l’univers matériel
"  near it in the field, i remember, were three faint points of light, three telescopic stars infinitely remote, and all around it was the unfathomable darkness of empty space","  dans le champ, je me souviens qu'il y avait trois faibles points lumineux, trois étoiles télescopiques infiniment éloignées, et tout autour, l'obscurité insondable de l'espace vide.","à proximité, dans le champ, je me souviens, se trouvaient trois faibles points de lumière, trois étoiles télescopiques infiniment éloignées, et tout autour se trouvait l'obscurité insondable de l'espace vide."
 you know how that blackness looks on a frosty starlight night, tu sais à quoi ressemble cette noirceur dans une nuit étoilée et glacée,tu sais à quoi ressemble cette noirceur par une nuit glaciale à la lumière des étoiles
 in a telescope it seems far profounder," dans un télescope, il semble beaucoup plus profond","dans un télescope, cela semble bien plus profond"
" and invisible to me because it was so remote and small, flying swiftly and steadily towards me across that incredible distance, drawing nearer every minute by so many thousands of miles, came the thing they were sending us, the thing that was to bring so much struggle and calamity and death to the earth"," et invisible pour moi parce qu'il était si éloigné et si petit, volant rapidement et régulièrement vers moi à travers cette incroyable distance, se rapprochant à chaque minute de tant de milliers de kilomètres, vint la chose qu'ils nous envoyaient, la chose qui devait apporter tant de luttes, de calamités et de morts sur la terre","et invisible pour moi parce qu'il était si éloigné et si petit, volant rapidement et régulièrement vers moi à travers cette distance incroyable, se rapprochant chaque minute de tant de milliers de kilomètres, arriva la chose qu'ils nous envoyaient, la chose qui devait apporter tant de choses. lutte et calamité et mort à la terre"
 i never dreamed of it then as i watched; no one on earth dreamed of that unerring missile, je n'en ai jamais rêvé alors que je regardais ; personne sur terre n'a rêvé de ce missile infaillible,je n'en ai jamais rêvé alors que je le regardais ; personne sur terre n'a rêvé de ce missile infaillible
"  that night, too, there was another jetting out of gas from the distant planet","  cette nuit-là également, il y a eu un autre jet de gaz en provenance de la planète lointaine","cette nuit-là aussi, il y a eu un autre jet de gaz depuis la planète lointaine"
 i saw it, Je l'ai vu,je l'ai vu
" a reddish flash at the edge, the slightest projection of the outline just as the chronometer struck midnight; and at that i told ogilvy and he took my place"," un éclair rougeâtre au bord, la moindre projection du contour juste au moment où le chronomètre sonnait minuit ; et à ce moment-là, je l'ai dit à ogilvy et il a pris ma place","un éclair rougeâtre sur le bord, la moindre projection du contour au moment où le chronomètre sonnait minuit ; et là je l'ai dit à Ogilvy et il a pris ma place"
" the night was warm and i was thirsty, and i went stretching my legs clumsily and feeling my way in the darkness, to the little table where the siphon stood, while ogilvy exclaimed at the streamer of gas that came out towards us"," la nuit était chaude et j'avais soif, et je suis allé en étirant mes jambes maladroitement et en tâtonnant dans l'obscurité, jusqu'à la petite table où se trouvait le siphon, tandis qu'ogilvy s'exclamait devant le jet de gaz qui sortait dans notre direction","la nuit était chaude et j'avais soif, et j'allais, en me dégourdissant maladroitement et en tâtonnant dans l'obscurité, jusqu'à la petite table où se trouvait le siphon, pendant qu'ogilvy s'exclamait devant la banderole de gaz qui sortait vers nous"
"  that night another invisible missile started on its way to the earth from mars, just a second or so under twenty-four hours after the first one","  cette nuit-là, un autre missile invisible a commencé à se diriger vers la terre à partir de mars, une seconde ou deux moins de vingt-quatre heures après le premier.","Cette nuit-là, un autre missile invisible a commencé à se diriger vers la Terre depuis Mars, juste une seconde environ, moins de vingt-quatre heures après le premier."
" i remember how i sat on the table there in the blackness, with patches of green and crimson swimming before my eyes"," Je me souviens que j'étais assis sur la table, dans le noir, avec des taches vertes et cramoisies qui nageaient devant mes yeux.","je me souviens comment j'étais assis sur la table là dans l'obscurité, avec des taches vertes et pourpres nageant devant mes yeux"
" i wished i had a light to smoke by, little suspecting the meaning of the minute gleam i had seen and all that it would presently bring me"," j'aurais aimé avoir une lumière pour fumer, sans me douter de la signification de la minuscule lueur que j'avais aperçue et de tout ce qu'elle m'apporterait bientôt","j'aurais aimé avoir une lumière pour fumer, me doutant peu de la signification de la minuscule lueur que j'avais vue et de tout ce qu'elle m'apporterait à présent"
" ogilvy watched till one, and then gave it up; and we lit the lantern and walked over to his house"," ogilvy a regardé jusqu'à une heure, puis a abandonné ; nous avons allumé la lanterne et nous avons marché jusqu'à sa maison","Ogilvy a regardé jusqu'à une heure, puis a abandonné ; et nous avons allumé la lanterne et sommes allés chez lui"
" down below in the darkness were ottershaw and chertsey and all their hundreds of people, sleeping in peace"," en bas, dans l'obscurité, ottershaw et chertsey et leurs centaines d'habitants dormaient en paix","en bas, dans l'obscurité, Ottershaw et Chertsey et toutes leurs centaines de personnes dormaient en paix."
"  he was full of speculation that night about the condition of mars, and scoffed at the vulgar idea of its having inhabitants who were signalling us","  ce soir-là, il s'est livré à de nombreuses spéculations sur l'état de Mars et s'est moqué de l'idée vulgaire selon laquelle ses habitants nous envoyaient des signaux",il était plein de spéculations cette nuit-là sur l'état de Mars et se moquait de l'idée vulgaire selon laquelle il y aurait des habitants qui nous signalaient.
" his idea was that meteorites might be falling in a heavy shower upon the planet, or that a huge volcanic explosion was in progress", Il pensait que des météorites pouvaient tomber en pluie sur la planète ou qu'une énorme explosion volcanique était en cours.,"son idée était que des météorites pourraient tomber en une forte pluie sur la planète, ou qu'une énorme explosion volcanique était en cours."
 he pointed out to me how unlikely it was that organic evolution had taken the same direction in the two adjacent planets, il m'a fait remarquer qu'il était peu probable que l'évolution organique ait pris la même direction sur les deux planètes adjacentes,il m'a fait remarquer combien il était improbable que l'évolution organique ait pris la même direction sur les deux planètes adjacentes
"  the chances against anything manlike on mars are a million to one, he said","  les chances qu'il y ait quelque chose de semblable à l'homme sur Mars sont d'un million contre un, a-t-il dit","les chances contre tout ce qui est humain sur Mars sont d'un million contre un, a-t-il déclaré."
"  hundreds of observers saw the flame that night and the night after about midnight, and again the night after; and so for ten nights, a flame each night","  des centaines d'observateurs ont vu la flamme cette nuit-là et la nuit suivante vers minuit, et encore la nuit d'après ; et ainsi pendant dix nuits, une flamme chaque nuit","des centaines d'observateurs ont vu la flamme cette nuit-là et la nuit après minuit environ, et de nouveau la nuit suivante ; et ainsi pendant dix nuits, une flamme chaque nuit"
 why the shots ceased after the tenth no one on earth has attempted to explain," la raison pour laquelle les tirs ont cessé après le dixième, personne sur terre n'a tenté de l'expliquer","pourquoi les tirs ont cessé après le 10, personne sur terre n'a tenté d'expliquer"
 it may be the gases of the firing caused the martians inconvenience, il se peut que les gaz de la mise à feu aient gêné les martiens,ce sont peut-être les gaz des tirs qui ont causé des désagréments aux martiens
" dense clouds of smoke or dust, visible through a powerful telescope on earth as little grey, fluctuating patches, spread through the clearness of the planet's atmosphere and obscured its more familiar features"," des nuages denses de fumée ou de poussière, visibles sur terre à l'aide d'un puissant télescope sous forme de petites taches grises et fluctuantes, se sont répandus dans la clarté de l'atmosphère de la planète et en ont masqué les caractéristiques les plus familières.","des nuages ​​denses de fumée ou de poussière, visibles à travers un puissant télescope sur Terre sous forme de petites taches grises et fluctuantes, se propagent à travers la clarté de l'atmosphère de la planète et obscurcissent ses caractéristiques les plus familières."
"  even the daily papers woke up to the disturbances at last, and popular notes appeared here, there, and everywhere concerning the volcanoes upon mars","  les quotidiens s'éveillent enfin aux perturbations et des articles de vulgarisation paraissent ici, là et partout sur les volcans de mars","même les quotidiens se rendirent enfin compte des troubles, et des notes populaires parurent ici, là et partout concernant les volcans sur Mars."
" the seriocomic periodical _punch_, i remember, made a happy use of it in the political cartoon"," le périodique sériocomique _punch_, je m'en souviens, en a fait un heureux usage dans la caricature politique","le périodique sério-comique _punch_, je m'en souviens, en faisait un heureux usage dans la caricature politique"
" and, all unsuspected, those missiles the martians had fired at us drew earthward, rushing now at a pace of many miles a second through the empty gulf of space, hour by hour and day by day, nearer and nearer"," et, sans qu'on s'en doute, les missiles que les Martiens avaient tirés sur nous se rapprochaient de la terre, se précipitant maintenant à une vitesse de plusieurs miles par seconde à travers le golfe vide de l'espace, d'heure en heure et de jour en jour, de plus en plus près","et, insoupçonnés, les missiles que les martiens nous avaient tirés se dirigeaient vers la terre, se précipitant maintenant à une vitesse de plusieurs kilomètres par seconde à travers le gouffre vide de l'espace, heure après heure et jour après jour, de plus en plus proches."
